Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Regeneron pharmaceuticals inc.,REGN,"",7969660.0,4451374000.0,0.1108,0.1024,158,-30752.0,-0.38438,reduction,7.5824682,Q2 2002,HEALTH CARE,"","",308.81
Humana  inc.,HUM,"",10047296.0,4448139000.0,0.1107,0.1135,159,38633.0,0.385996,addition,7.8186236,Q2 2002,HEALTH CARE,"","",100.1324
Aptiv plc,APTV,"",28151570.0,4429085000.0,0.1102,0.1053,160,-76985.0,-0.27272,reduction,10.4069434,Q1 2012,INDUSTRIALS,"","",42.0
Ecolab inc.,ECL,"",21500662.0,4428492000.0,0.1102,0.1233,161,201746.0,0.947213,addition,7.5154220,Q2 2002,MATERIALS,"","",74.4755
Vanguard total stock market etf,VTI,"",19825061.0,4417420000.0,0.1099,0.1016,162,1658362.0,9.128582,addition,No Data,Q3 2003,FINANCE,"","",136.4173
Ford motor co.,F,"",296718176.0,4409232000.0,0.1097,0.097,163,4096021.0,1.399764,addition,7.5617943,Q2 2002,CONSUMER DISCRETIONARY,"","",11.5069
Global payments inc.,GPN,"",23437760.0,4395518000.0,0.1094,0.1278,164,8240.0,0.035169,addition,7.9788637,Q2 2002,INFORMATION TECHNOLOGY,"","",98.3414
Dexcom inc,DXCM,"",10255842.0,4379244000.0,0.109,0.0995,165,18589.0,0.181582,addition,10.6004739,Q2 2005,HEALTH CARE,"","",118.3405
Amphenol corp. (1987),APH,"",64002499.0,4378411000.0,0.109,0.1151,166,-484496.0,-0.751308,reduction,10.6994448,Q2 2002,INFORMATION TECHNOLOGY,"","",40.66
Northrop grumman corp.,NOC,"",12028333.0,4371457000.0,0.1088,0.1081,167,-322923.0,-2.614495,reduction,7.5125853,Q2 2002,INDUSTRIALS,"","",93.31
Carrier global corp.,CARR,"",89915630.0,4369900000.0,0.1087,0.1019,168,697882.0,0.782223,addition,10.3625084,Q2 2020,INDUSTRIALS,"","",22.6629
International flavors and fragrances  inc.,IFF,"",29217295.0,4365064000.0,0.1086,0.104,169,1681797.0,6.107741,addition,11.7308048,Q2 2002,MATERIALS,"","",122.7855
Hca healthcare inc,HCA,"",20984612.0,4338360000.0,0.108,0.1071,170,-30265.0,-0.144017,reduction,6.5547846,Q1 2011,HEALTH CARE,"","",61.51
Cadence design systems  inc.,CDNS,"",31519845.0,4312544000.0,0.1073,0.1174,171,-172522.0,-0.544365,reduction,11.3880501,Q2 2002,INFORMATION TECHNOLOGY,"","",23.76
Equity residential,EQR,"",55934227.0,4306937000.0,0.1072,0.1119,172,-1796537.0,-3.111923,reduction,14.9374098,Q2 2002,REAL ESTATE,"","",51.48
Discover financial services,DFS,"",36208440.0,4283097000.0,0.1066,0.0914,173,632214.0,1.777069,addition,12.0909035,Q3 2007,FINANCE,"","",37.4958
Ihs markit ltd,INFO,"",37893403.0,4269069000.0,0.1062,0.0994,174,-61506.0,-0.16205,reduction,9.5063308,Q2 2015,INFORMATION TECHNOLOGY,"","",43.23
Marvell technology group ltd,MRVL,"",72661015.0,4238317000.0,0.1055,0.0809,175,11621273.0,19.038863,addition,8.8665058,Q2 2002,INFORMATION TECHNOLOGY,"","",23.7279
Freeport-mcmoran copper & gold  inc,FCX,"",113993092.0,4230284000.0,0.1053,0.1186,176,-19123550.0,-14.36601,reduction,7.7648565,Q2 2002,MATERIALS,"","",19.16
Newmont mining corp. (holding co.),NEM,"",66198736.0,4195675000.0,0.1044,0.1268,177,-11563240.0,-14.870044,reduction,8.2838909,Q2 2002,MATERIALS,"","",35.86
Align technology inc,ALGN,"",6821063.0,4167670000.0,0.1037,0.0968,178,213951.0,3.238192,addition,8.6329956,Q2 2002,HEALTH CARE,"","",94.7957
Snap inc class a,SNAP,"",60392107.0,4115117000.0,0.1024,0.0848,179,454511.0,0.758307,addition,4.5550131,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,"","",14.3876
Vertex pharmaceuticals  inc.,VRTX,"",20249218.0,4082849000.0,0.1016,0.1187,180,-166493.0,-0.815514,reduction,7.8053206,Q2 2002,HEALTH CARE,"","",85.24
Weyerhaeuser corp.,WY,"",118328851.0,4072879000.0,0.1014,0.1125,181,1497287.0,1.281577,addition,15.7817253,Q2 2002,MATERIALS,"","",31.6061
Biogen inc,BIIB,"",11753333.0,4069827000.0,0.1013,0.0897,182,-100325.0,-0.846363,reduction,7.8863729,Q2 2002,HEALTH CARE,"","",136.72
Aon plc,AON,"",16956025.0,4048420000.0,0.1007,0.1086,183,-483592.0,-2.772951,reduction,7.5110695,Q2 2002,FINANCE,"","",60.06
Uber technologies inc,UBER,"",80742670.0,4046822000.0,0.1007,0.1056,184,9134418.0,12.756097,addition,4.3388902,Q2 2019,CONSUMER DISCRETIONARY,"","",35.9567
Johnson controls international plc (tyco laboratories),JCI,"",58954314.0,4046035000.0,0.1007,0.095,185,114798.0,0.195104,addition,8.2774933,Q2 2002,INDUSTRIALS,"","",39.2872
Roper technologies inc,ROP,"",8571379.0,4030262000.0,0.1003,0.0932,186,33407.0,0.391276,addition,8.1303988,Q2 2002,INDUSTRIALS,"","",120.5083
Eog resources inc,EOG,"",48188232.0,4020826000.0,0.1001,0.0937,187,430215.0,0.900823,addition,8.2533859,Q2 2002,ENERGY,"","",75.4718
Motorola solutions inc,MSI,"",18465824.0,4004314000.0,0.0997,0.0934,188,103432.0,0.563282,addition,10.9055766,Q2 2002,INFORMATION TECHNOLOGY,"","",1011.4144
Dow inc,DOW,"",63173902.0,3997645000.0,0.0995,0.1071,189,1240105.0,2.002307,addition,8.4709429,Q2 2019,MATERIALS,"","",49.6038
Alexandria real estate equities  inc.,ARE,"",21951990.0,3993946000.0,0.0994,0.094,190,799369.0,3.779054,addition,14.4076909,Q2 2002,REAL ESTATE,"","",106.1829
Dollar general corp.,DG,"",18272578.0,3954003000.0,0.0984,0.1038,191,-660290.0,-3.487533,reduction,7.7358820,Q4 2009,CONSUMER DISCRETIONARY,"","",59.0
Realty income corp.,O,"",59130162.0,3946347000.0,0.0982,0.0991,192,1464054.0,2.538847,addition,15.1853983,Q2 2002,REAL ESTATE,"","",49.0882
Toronto-dominion bank (the),TD,"",56178756.0,3935323000.0,0.0979,0.0971,193,1151467.0,2.092538,addition,3.0845280,Q1 2015,FINANCE,"","",46.7966
Pioneer natural resources co.,PXD,"",24113046.0,3918852000.0,0.0975,0.0989,194,1098706.0,4.774006,addition,9.8840549,Q2 2002,ENERGY,"","",119.8758
Twilio inc,TWLO,"",9916063.0,3908515000.0,0.0973,0.0889,195,266826.0,2.765255,addition,5.9402051,Q2 2016,INFORMATION TECHNOLOGY,"","",90.9058
T. rowe price group,TROW,"",19717760.0,3903525000.0,0.0971,0.0916,196,-8867.0,-0.044949,reduction,8.6886536,Q2 2002,FINANCE,"","",65.88
Veeva systems inc,VEEV,"",12544865.0,3900825000.0,0.0971,0.0883,197,52479.0,0.420088,addition,9.0804334,Q4 2013,INFORMATION TECHNOLOGY,"","",56.5686
American international group  inc.,AIG,"",81502196.0,3879505000.0,0.0965,0.1017,198,150527.0,0.185032,addition,9.5301641,Q2 2002,FINANCE,"","",672.903
Schlumberger ltd.,SLB,"",120052256.0,3842872000.0,0.0956,0.0873,199,1373010.0,1.156908,addition,8.5847699,Q2 2002,ENERGY,"","",59.1164
Xilinx  inc,XLNX,"",26473823.0,3829173000.0,0.0953,0.0889,200,-51310.0,-0.193439,reduction,10.6978700,Q2 2002,INFORMATION TECHNOLOGY,"","",42.23
Blackstone group inc,BX,"",39344478.0,3821923000.0,0.0951,0.0776,201,869370.0,2.259565,addition,5.7357769,Q3 2019,FINANCE,"","",51.1394
Marathon petroleum corp,MPC,"",63252708.0,3821728000.0,0.0951,0.091,202,350693.0,0.557523,addition,9.9110768,Q3 2011,ENERGY,"","",40.8591
General dynamics corp. (electric boat),GD,"",20284413.0,3818746000.0,0.095,0.0998,203,-34858.0,-0.171551,reduction,7.2563177,Q2 2002,INDUSTRIALS,"","",85.87
Cintas corporation,CTAS,"",9991579.0,3816783000.0,0.095,0.0924,204,-19579.0,-0.195572,reduction,9.7036480,Q2 2002,INDUSTRIALS,"","",72.17
Resmed inc.,RMD,"",15415804.0,3800306000.0,0.0946,0.0813,205,-70054.0,-0.452374,reduction,10.5937560,Q2 2002,HEALTH CARE,"","",55.46
L3harris technologies inc,LHX,"",17379166.0,3756508000.0,0.0935,0.0967,206,-251149.0,-1.424529,reduction,14.7331011,Q2 2002,INFORMATION TECHNOLOGY,"","",104.97
Alexion pharmaceuticals inc.,ALXN,"",20367300.0,3741676000.0,0.0931,0.0809,207,798317.0,4.079502,addition,9.2151710,Q2 2002,HEALTH CARE,"","",98.823
Corning inc.,GLW,"",91392469.0,3737951000.0,0.093,0.1061,208,1284868.0,1.425926,addition,10.7012917,Q2 2002,INFORMATION TECHNOLOGY,"","",19.9783
Match group inc.,MTCH,"",23040787.0,3715328000.0,0.0925,0.0848,209,212813.0,0.932247,addition,8.3236612,Q2 2002,CONSUMER DISCRETIONARY,"","",111.801
Phillips 66,PSX,"",43181322.0,3705821000.0,0.0922,0.0947,210,231139.0,0.538156,addition,9.8589877,Q2 2012,ENERGY,"","",52.8972
Te connectivity ltd,TEL,"",27358318.0,3699118000.0,0.0921,0.0953,211,84230.0,0.308828,addition,8.3410290,Q3 2007,INFORMATION TECHNOLOGY,"","",52.2362
Kimberly-clark corp.,KMB,"",27616743.0,3694568000.0,0.0919,0.1042,212,-77484.0,-0.279784,reduction,8.2006687,Q2 2002,CONSUMER STAPLES,"","",88.21
Fortinet inc,FTNT,"",15410385.0,3670599000.0,0.0913,0.0783,213,-284267.0,-1.811235,reduction,9.4356883,Q4 2009,INFORMATION TECHNOLOGY,"","",39.35
Exelon corp,EXC,"",82269744.0,3645372000.0,0.0907,0.0991,214,-1525403.0,-1.820395,reduction,8.4134788,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",37.32
Roku inc,ROKU,"",7899493.0,3627842000.0,0.0903,0.0672,215,279159.0,3.663343,addition,6.7862416,Q3 2017,INFORMATION TECHNOLOGY,"","",96.7689
Trane technologies plc,TT,"",19593982.0,3608038000.0,0.0898,0.0866,216,249400.0,1.28925,addition,8.2463234,Q2 2002,INDUSTRIALS,"","",57.246
Valero energy corp.,VLO,"",46111060.0,3600351000.0,0.0896,0.0887,217,314695.0,0.687162,addition,11.2807173,Q2 2002,ENERGY,"","",41.8688
Nucor corp. (nuclear corp. of america),NUE,"",37335594.0,3581604000.0,0.0891,0.0796,218,661012.0,1.802371,addition,12.7123898,Q2 2002,MATERIALS,"","",47.1885
Bank of new york mellon corp,BK,"",69732438.0,3572393000.0,0.0889,0.0885,219,578136.0,0.836009,addition,8.0786103,Q2 2002,FINANCE,"","",37.2469
Transdigm group inc,TDG,"",5503856.0,3562591000.0,0.0887,0.0873,220,14767.0,0.269025,addition,9.9865961,Q2 2006,INDUSTRIALS,"","",198.248
Sempra energy  inc.,SRE,"",26807489.0,3551456000.0,0.0884,0.0914,221,1309657.0,5.136346,addition,8.3949610,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",88.2707
Corteva inc,CTVA,"",79710126.0,3535145000.0,0.088,0.1004,222,116735.0,0.146664,addition,10.8569538,Q2 2019,MATERIALS,"","",29.362
Agilent technologies inc,A,"",23885381.0,3530497000.0,0.0879,0.0819,223,68755.0,0.288685,addition,7.8714498,Q2 2002,INFORMATION TECHNOLOGY,"","",32.7322
American electric power company inc,AEP,"",41511648.0,3511470000.0,0.0874,0.0942,224,390025.0,0.948467,addition,8.2981583,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",52.8213
Metlife inc.,MET,"",58526682.0,3502822000.0,0.0872,0.0966,225,-206364.0,-0.351359,reduction,6.8300683,Q2 2002,FINANCE,"","",33.66
Mettler-toledo international  inc.,MTD,"",2520987.0,3492425000.0,0.0869,0.0796,226,-25934.0,-1.018249,reduction,10.9053668,Q2 2002,INFORMATION TECHNOLOGY,"","",245.96
Hp inc,HPQ,"",115505674.0,3487116000.0,0.0868,0.1005,227,-1467801.0,-1.254815,reduction,9.6154127,Q2 2002,INFORMATION TECHNOLOGY,"","",11.99
Fastenal co.,FAST,"",66950412.0,3481421000.0,0.0866,0.092,228,-722308.0,-1.067355,reduction,11.6488295,Q2 2002,INDUSTRIALS,"","",26.57
First republic bank (ca),FRC,"",18558295.0,3473557000.0,0.0864,0.0837,229,6710.0,0.036169,addition,No Data,Q4 2010,FINANCE,"","",67.4833
Ebay inc.,EBAY,"",49362912.0,3465769000.0,0.0862,0.0831,230,-823586.0,-1.641051,reduction,7.5936422,Q2 2002,CONSUMER DISCRETIONARY,"","",13.56
Extra space storage  inc.,EXR,"",21145108.0,3463991000.0,0.0862,0.074,231,506139.0,2.452346,addition,15.8026539,Q3 2004,REAL ESTATE,"","",50.8211
Archer-daniels-midland co.,ADM,"",56735084.0,3438146000.0,0.0856,0.0866,232,580164.0,1.033149,addition,10.1548004,Q2 2002,CONSUMER STAPLES,"","",34.8659
Ventas  inc.,VTR,"",59853180.0,3417617000.0,0.085,0.0855,233,597788.0,1.008833,addition,15.7369837,Q2 2002,REAL ESTATE,"","",55.5655
Wec energy group (wisconsin electric power),WEC,"",38296994.0,3406517000.0,0.0848,0.0972,234,-110307.0,-0.287203,reduction,12.1410278,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",46.52
Skyworks solutions  inc.,SWKS,"",17716534.0,3397146000.0,0.0845,0.0881,235,-25809.0,-0.145466,reduction,10.7278703,Q2 2002,INFORMATION TECHNOLOGY,"","",48.92
Ross stores inc. (de),ROST,"",27263685.0,3380697000.0,0.0841,0.0878,236,194546.0,0.7187,addition,7.6343061,Q2 2002,CONSUMER DISCRETIONARY,"","",36.6379
Ameriprise financial  inc.,AMP,"",13550386.0,3372419000.0,0.0839,0.0851,237,24343.0,0.179971,addition,11.9128528,Q3 2005,FINANCE,"","",87.9796
Sysco corp.,SYY,"",43114667.0,3352165000.0,0.0834,0.0909,238,430545.0,1.008677,addition,8.4277155,Q2 2002,CONSUMER STAPLES,"","",41.9115
Dowdupont inc. (dow chemical),DD,"",43265405.0,3349174000.0,0.0833,0.0903,239,84771.0,0.196317,addition,8.2716473,Q2 2002,MATERIALS,"","",76.7713
Ppg industries  inc. (pittsburgh plate glass),PPG,"",19664585.0,3338456000.0,0.0831,0.0788,240,265951.0,1.370978,addition,8.2848283,Q2 2002,MATERIALS,"","",41.3111
Arthur j. gallagher & co inc,AJG,"",23763727.0,3328822000.0,0.0828,0.0757,241,1332944.0,5.942476,addition,11.4939429,Q2 2002,FINANCE,"","",57.1671
Eversource energy (western massachusetts cos./northeast utilities),ES,"",41128149.0,3300123000.0,0.0821,0.0959,242,187080.0,0.456949,addition,11.9682690,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",46.8924
Synchrony financial,SYF,"",67728403.0,3286182000.0,0.0818,0.0695,243,4544581.0,7.192634,addition,11.8884515,Q3 2014,FINANCE,"","",30.1232
Prudential financial inc.,PRU,"",31989804.0,3277995000.0,0.0816,0.0789,244,-11159.0,-0.034871,reduction,8.2875140,Q2 2002,FINANCE,"","",60.99
American water works co inc,AWK,"",21253929.0,3275868000.0,0.0815,0.0858,245,96922.0,0.458108,addition,11.7104299,Q2 2008,UTILITIES AND TELECOMMUNICATIONS,"","",57.1841
Best buy co.  inc.,BBY,"",28269373.0,3250413000.0,0.0809,0.0895,246,-534780.0,-1.856607,reduction,11.2863957,Q2 2002,CONSUMER DISCRETIONARY,"","",34.08
Allstate corp (the),ALL,"",24914055.0,3249789000.0,0.0809,0.0761,247,429981.0,1.756166,addition,8.4259796,Q2 2002,FINANCE,"","",55.8696
Travelers companies  inc. (the) (st. paul fire and marine insurance),TRV,"",21650753.0,3241333000.0,0.0807,0.0876,248,123737.0,0.574799,addition,8.6779035,Q2 2002,FINANCE,"","",65.1262
Ansys  inc.,ANSS,"",9312427.0,3231971000.0,0.0804,0.0856,249,-2576.0,-0.027654,reduction,10.6729601,Q2 2002,INFORMATION TECHNOLOGY,"","",83.52
Rockwell automation  inc.,ROK,"",11238845.0,3214534000.0,0.08,0.0808,250,-15479.0,-0.137538,reduction,9.6865116,Q2 2002,INDUSTRIALS,"","",94.39
Ametek inc.,AME,"",23966855.0,3199575000.0,0.0796,0.0829,251,-15411.0,-0.06426,reduction,10.3660348,Q2 2002,INDUSTRIALS,"","",39.81
Lululemon athletica inc.,LULU,"",8715815.0,3181012000.0,0.0792,0.0726,252,-36403.0,-0.415929,reduction,6.9753161,Q3 2007,CONSUMER DISCRETIONARY,"","",82.78
Svb financial group,SIVB,"",5714480.0,3179709000.0,0.0791,0.0741,253,162091.0,2.919302,addition,10.1255032,Q2 2002,FINANCE,"","",139.8706
Cummins inc,CMI,"",13028108.0,3176383000.0,0.079,0.0913,254,5904.0,0.045338,addition,9.0720461,Q2 2002,INDUSTRIALS,"","",94.3877
Pinterest inc,PINS,"",40181733.0,3172348000.0,0.0789,0.0778,255,1330673.0,3.425062,addition,7.2376429,Q2 2019,COMMUNICATIONS,"","",31.6984
Xcel energy inc. (northern states power co. (mn)),XEL,"",48065770.0,3166573000.0,0.0788,0.0857,256,440407.0,0.924732,addition,8.9269127,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",35.6793
Fifth third bancorp (1927) (cincinnati  oh),FITB,"",82685810.0,3161078000.0,0.0787,0.0846,257,-801754.0,-0.960327,reduction,11.9709892,Q2 2002,FINANCE,"","",22.06
Willis towers watson plc,WLTW,"",13724362.0,3156877000.0,0.0786,0.0844,258,95609.0,0.701524,addition,10.6355988,Q3 2004,FINANCE,"","",252.0455
Palo alto networks inc,PANW,"",8497746.0,3153089000.0,0.0785,0.0743,259,-29544.0,-0.346464,reduction,8.7254024,Q3 2012,INFORMATION TECHNOLOGY,"","",124.19
Electronic arts  inc.,EA,"",21869555.0,3145499000.0,0.0783,0.0812,260,-292782.0,-1.321079,reduction,7.6848043,Q2 2002,INFORMATION TECHNOLOGY,"","",43.23
Baxter international inc.,BAX,"",38942060.0,3134835000.0,0.078,0.0892,261,-145499.0,-0.372239,reduction,7.7898102,Q2 2002,HEALTH CARE,"","",38.12
D.r. horton  inc.,DHI,"",34598228.0,3126642000.0,0.0778,0.0866,262,-1309798.0,-3.647647,reduction,9.6593457,Q2 2002,CONSUMER DISCRETIONARY,"","",25.9
General mills co.,GIS,"",51266074.0,3123641000.0,0.0777,0.0848,263,151280.0,0.295961,addition,8.4428846,Q2 2002,CONSUMER STAPLES,"","",41.5573
Keysight technologies inc,KEYS,"",20201752.0,3119353000.0,0.0776,0.079,264,-160723.0,-0.78931,reduction,10.8614821,Q4 2014,HEALTH CARE,"","",43.95
Zebra technologies corp,ZBRA,"",5877234.0,3111937000.0,0.0774,0.0774,265,-21805.0,-0.369636,reduction,11.0054447,Q2 2002,INDUSTRIALS,"","",93.65
Essex property trust  inc.,ESS,"",10362413.0,3108829000.0,0.0774,0.0755,266,89516.0,0.87138,addition,15.9336405,Q2 2002,REAL ESTATE,"","",172.5804
Mid-america apartment communities  inc.,MAA,"",18448214.0,3107048000.0,0.0773,0.0718,267,71358.0,0.388304,addition,16.0531035,Q2 2002,REAL ESTATE,"","",81.8163
Walgreens boots alliance inc.,WBA,"",58948812.0,3101298000.0,0.0772,0.0866,268,628017.0,1.076832,addition,6.8149916,Q2 2002,CONSUMER STAPLES,"","",52.7287
Paychex inc.,PAYX,"",28871326.0,3097892000.0,0.0771,0.0764,269,68300.0,0.237128,addition,8.0235976,Q2 2002,INFORMATION TECHNOLOGY,"","",47.8011
Waste connections inc,WCN,"",25887209.0,3091709000.0,0.0769,0.0761,270,-182090.0,-0.698484,reduction,9.9368251,Q2 2002,INDUSTRIALS,"","",44.7
Kinder morgan inc. (de),KMI,"",169476131.0,3089550000.0,0.0769,0.0761,271,569949.0,0.337435,addition,7.4773693,Q1 2011,UTILITIES AND TELECOMMUNICATIONS,"","",31.3657
Maxim integrated products inc,MXIM,"",29312907.0,3088408000.0,0.0769,0.072,272,169149.0,0.580395,addition,10.9228305,Q4 2008,INFORMATION TECHNOLOGY,"","",36.2809
Otis worldwide corp,OTIS,"",37681678.0,3081231000.0,0.0767,0.07,273,-142418.0,-0.376527,reduction,8.8293256,Q2 2020,INDUSTRIALS,"","",56.97
Okta inc,OKTA,"",12586798.0,3079738000.0,0.0766,0.066,274,1514962.0,13.683024,addition,8.6491983,Q2 2017,INFORMATION TECHNOLOGY,"","",97.9738
Aflac inc.,AFL,"",57273402.0,3073291000.0,0.0765,0.0795,275,-143177.0,-0.249365,reduction,8.5388208,Q2 2002,FINANCE,"","",25.49
Crowdstrike holdings inc,CRWD,"",12198433.0,3065589000.0,0.0763,0.0676,276,-1485699.0,-10.857093,reduction,6.1223561,Q2 2019,INFORMATION TECHNOLOGY,"","",119.88
Equifax inc.,EFX,"",12714401.0,3045225000.0,0.0758,0.0626,277,-59151.0,-0.463074,reduction,10.4355591,Q2 2002,INDUSTRIALS,"","",66.18
The trade desk inc class a,TTD,"",39250988.0,3036456000.0,0.0756,0.0685,278,409498.0,1.05428,addition,9.0415204,Q3 2016,COMMUNICATIONS,"","",70.0184
Mckesson corp.,MCK,"",15800291.0,3021647000.0,0.0752,0.0841,279,-137378.0,-0.86197,reduction,10.2151833,Q2 2002,HEALTH CARE,"","",100.08
Oreilly automotive inc.,ORLY,"",5335768.0,3021166000.0,0.0752,0.0743,280,-79234.0,-1.463231,reduction,7.7384096,Q2 2002,CONSUMER DISCRETIONARY,"","",75.96
Hilton worldwide holdings inc,HLT,"",24980981.0,3013207000.0,0.075,0.0816,281,41741.0,0.167371,addition,8.9638449,Q4 2013,CONSUMER DISCRETIONARY,"","",86.0179
West pharmaceutical services inc,WST,"",8388535.0,3012322000.0,0.075,0.0645,282,-75950.0,-0.897278,reduction,11.3390626,Q2 2002,HEALTH CARE,"","",74.85
Invitation homes inc,INVH,"",80612092.0,3006026000.0,0.0748,0.0694,283,424083.0,0.528861,addition,13.9833724,Q1 2017,REAL ESTATE,"","",25.6416
Laboratory corp of america holdings,LH,"",10895962.0,3005650000.0,0.0748,0.0733,284,263760.0,2.480766,addition,11.3028651,Q2 2002,HEALTH CARE,"","",104.5398
Autozone inc.,AZO,"",2008623.0,2997307000.0,0.0746,0.0784,285,-54872.0,-2.659178,reduction,9.3230268,Q2 2002,CONSUMER DISCRETIONARY,"","",349.34
Occidental petroleum corp.,OXY,"",95647398.0,2990894000.0,0.0744,0.0706,286,-2383893.0,-2.431767,reduction,10.2469840,Q2 2002,ENERGY,"","",45.13
Parker-hannifin corp.,PH,"",9677333.0,2972006000.0,0.074,0.0821,287,57472.0,0.597431,addition,7.4985565,Q2 2002,INDUSTRIALS,"","",85.5039
Verisk analytics inc,VRSK,"",16971053.0,2965182000.0,0.0738,0.0819,288,-155846.0,-0.909949,reduction,10.5181306,Q4 2009,INDUSTRIALS,"","",68.22
Constellation brands  inc.,STZ,"",12580105.0,2942360000.0,0.0732,0.0774,289,34131.0,0.272047,addition,7.4769712,Q2 2002,CONSUMER STAPLES,"","",76.4982
Copart inc.,CPRT,"",22258395.0,2934324000.0,0.073,0.0659,290,-167852.0,-0.748462,reduction,9.4084607,Q2 2002,INDUSTRIALS,"","",32.04
Viacomcbs inc. class b,VIAC,"",64235732.0,2903455000.0,0.0723,0.0737,291,3789299.0,6.268855,addition,10.6032191,Q2 2002,COMMUNICATIONS,"","",35.2159
Williams cos. (the),WMB,"",108675601.0,2885338000.0,0.0718,0.0695,292,168780.0,0.155548,addition,8.9447970,Q2 2002,ENERGY,"","",26.2205
Delta air lines inc.,DAL,"",66622784.0,2882102000.0,0.0717,0.0858,293,927297.0,1.411508,addition,10.4111947,Q2 2007,TRANSPORTS,"","",24.771
Cognizant technology solutions corp,CTSH,"",41532499.0,2876540000.0,0.0716,0.0878,294,-17868.0,-0.043003,reduction,7.9019635,Q2 2002,INFORMATION TECHNOLOGY,"","",40.24
Lennar corp. class a,LEN,"",28934505.0,2874643000.0,0.0715,0.0786,295,216094.0,0.752458,addition,10.4926228,Q2 2002,REAL ESTATE,"","",45.1776
Costar group inc,CSGP,"",34639833.0,2868871000.0,0.0714,0.0773,296,-126037.0,-0.362531,reduction,8.7705739,Q2 2002,INDUSTRIALS,"","",12.32
Dte energy co. (detroit edison),DTE,"",26006479.45,2868458000.0,0.0714,0.0784,297,418386.95,1.635085,addition,11.4234821,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",71.1698
Etsy inc,ETSY,"",13930166.0,2867385000.0,0.0714,0.0739,298,384654.0,2.839715,addition,11.0053077,Q2 2015,CONSUMER DISCRETIONARY,"","",48.2647
Healthpeak properties inc,PEAK,"",85603674.0,2849746000.0,0.0709,0.073,299,608365.0,0.715763,addition,15.8828752,Q2 2002,REAL ESTATE,"","",29.7454
Ball corp.,BLL,"",35116000.0,2845099000.0,0.0708,0.0816,300,-465318.0,-1.307759,reduction,10.7516510,Q2 2002,MATERIALS,"","",29.77
Duke realty corp.,DRE,"",59684119.0,2826041000.0,0.0703,0.0671,301,557445.0,0.942798,addition,15.7752429,Q2 2002,REAL ESTATE,"","",21.3848
Generac holdlings inc,GNRC,"",6757923.0,2805551000.0,0.0698,0.0615,302,-188397.0,-2.712184,reduction,10.7063518,Q1 2010,INDUSTRIALS,"","",79.2
Oneok inc. (oklahoma natural gas),OKE,"",50223428.0,2794431000.0,0.0695,0.0684,303,286257.0,0.573234,addition,11.2694261,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",45.697
International paper co.,IP,"",48051006.43,2789779000.0,0.0694,0.0662,304,254810.69,0.533119,addition,11.6424813,Q2 2002,MATERIALS,"","",41.426
